Seg2File,Mw
27732.16.11.01.12.12.00.dat,0
27734.16.11.01.12.14.00.dat,0.36
27736.16.11.01.12.16.00.dat,0.13
27738.16.11.01.12.18.00.dat,-0.3
27739.16.11.01.12.19.00.dat,-0.48
27740.16.11.01.12.20.00.dat,0.05
27741.16.11.01.12.21.00.dat,-0.33
27743.16.11.01.12.23.00.dat,-0.3
27744.16.11.01.12.24.00.dat,0.06
27746.16.11.01.12.26.00.dat,0.05
27747.16.11.01.12.27.00.dat,-0.26
27748.16.11.01.12.28.00.dat,-0.07
27750.16.11.01.12.30.00.dat,0.32
27751.16.11.01.12.31.00.dat,-0.22
